g111	g112	g113	g121	g122	g123	g131	g132	g133	g14	g15	g211	g212	g213	g214	g215	g216	g217	g218	g219	g2110	g22	g23	g24	g25	g26	g3
3 4	3 4	3 4	0 1	1 2	0 1	0 0	0 1	4 6	4 6	1 1	22 33	40 40	91 91	166 166	7 7	45 45	16533 16533	14 14	3 3	5 5	0 1	2 3	3 4	4 6	4 6	320000 480000	
3 4	0 1	0 1	0 1	6 9	3 4	0 1	0 1	5 8	4 6	1 1	19 28	45 45	83 83	166 166	9 9	9 9	18265 18265	3 3	3 3	5 5	3 4	3 4	4 6	0 1	3 4	241752 362629	
1 2	2 3	3 4	4 7	7 10	1 2	4 6	0 1	4 7	1 2	1 1	20 30	34 34	75 75	131 131	7 7	18 18	13539 13539	0 0	3 3	2 2	0 1	1 2	3 4	4 6	3 4	228224 342336	
1 2	2 3	3 4	5 8	8 12	3 4	0 0	3 4	5 8	4 6	0 0	7 10	44 44	87 87	144 144	9 9	37 37	16299 16299	1 1	3 3	5 5	0 1	2 3	1 2	2 3	1 2	113702 170553	
0 1	1 2	2 3	8 12	8 12	4 7	3 4	0 0	4 7	1 2	0 0	11 16	40 40	87 87	187 187	8 8	1 1	17443 17443	4 4	3 3	5 5	1 2	3 4	2 3	0 1	1 2	123520 185280	
2 3	0 1	3 4	1 2	1 2	6 9	1 2	0 0	1 2	3 4	1 1	12 19	50 50	100 100	200 200	10 10	41 41	19015 19015	14 14	5 5	5 5	2 3	1 2	4 6	2 3	2 3	205377 308066	
3 4	3 4	2 3	8 12	6 9	6 9	0 1	1 2	6 9	3 4	1 1	16 24	33 33	50 50	133 133	6 6	14 14	11396 11396	0 0	5 5	1 1	0 1	4 6	3 4	4 6	3 4	287325 430988	
0 0	3 4	2 3	4 6	7 10	4 7	0 1	2 3	6 9	3 4	1 1	16 25	13 13	19 19	17 17	2 2	12 12	3531 3531	20 20	3 3	5 5	4 6	2 3	2 3	0 1	3 4	248844 373266	
0 0	0 0	1 2	4 7	6 9	2 3	1 2	0 1	1 2	4 6	1 1	12 19	13 13	23 23	53 53	2 2	17 17	4095 4095	7 7	5 5	1 1	3 4	4 6	2 3	2 3	2 3	221856 332785	
0 0	0 0	1 2	6 9	8 12	6 9	4 6	3 4	0 1	1 2	0 0	10 15	11 11	19 19	14 14	1 1	16 16	2617 2617	4 4	5 5	2 2	0 1	2 3	2 3	4 6	1 2	137030 205545	
2 3	2 3	0 1	2 3	4 7	1 2	2 3	1 2	1 2	3 4	0 0	7 10	12 12	35 35	53 53	3 3	50 50	5943 5943	0 0	2 2	4 4	4 6	4 6	4 6	3 4	1 2	156860 235290	
0 0	0 0	0 1	3 4	4 7	5 8	0 1	3 4	4 6	1 2	0 0	3 4	17 17	40 40	93 93	4 4	11 11	8038 8038	7 7	5 5	1 1	2 3	4 6	1 2	4 6	0 1	83201 124802	
1 2	0 1	0 0	8 12	6 9	1 2	0 1	1 2	3 4	3 4	1 1	18 27	50 50	98 98	194 194	10 10	16 16	19842 19842	5 5	3 3	2 2	3 4	4 6	2 3	3 4	3 4	287965 431948	
2 3	0 0	2 3	8 12	5 8	5 8	1 2	1 2	4 7	1 2	1 1	22 33	30 30	60 60	118 118	8 8	17 17	13631 13631	3 3	5 5	2 2	3 4	0 1	1 2	2 3	4 6	313871 470806	
0 0	2 3	0 0	7 10	6 9	7 10	0 1	3 4	0 1	4 6	1 1	19 28	41 41	92 92	147 147	8 8	46 46	16430 16430	16 16	3 3	4 4	2 3	4 6	1 2	1 2	3 4	238998 358497	
1 2	2 3	0 1	4 7	5 8	5 8	0 1	1 2	6 9	3 4	1 1	23 34	37 37	69 69	141 141	6 6	34 34	13132 13132	5 5	1 1	1 1	2 3	4 6	3 4	0 1	4 6	290785 436178	
0 1	0 0	3 4	6 9	5 8	8 12	1 2	0 1	3 4	1 2	1 1	12 18	27 27	57 57	111 111	4 4	27 27	10131 10131	11 11	4 4	1 1	2 3	4 6	1 2	3 4	2 3	207541 311312	
1 2	3 4	0 1	5 8	3 4	1 2	4 6	3 4	4 7	3 4	0 0	0 1	24 24	57 57	116 116	5 5	50 50	10612 10612	2 2	1 1	1 1	4 6	0 1	2 3	1 2	0 1	88232 132349	
2 3	0 0	1 2	8 12	5 8	4 7	0 0	0 0	5 8	2 3	0 0	6 9	37 37	70 70	144 144	7 7	46 46	13346 13346	16 16	1 1	4 4	1 2	4 6	4 6	0 1	0 1	89311 133966	
2 3	3 4	0 0	3 4	4 7	1 2	2 3	2 3	6 9	1 2	0 0	12 19	50 50	93 93	200 200	9 9	7 7	19947 19947	16 16	3 3	1 1	0 1	1 2	1 2	0 1	1 2	134760 202141	
1 2	1 2	3 4	3 4	7 10	8 12	0 1	2 3	0 1	0 1	0 0	4 7	46 46	100 100	175 175	10 10	36 36	19011 19011	10 10	4 4	5 5	1 2	2 3	2 3	1 2	0 1	80000 120000	
2 3	0 1	3 4	5 8	3 4	3 4	1 2	0 1	1 2	0 1	0 0	11 16	10 10	16 16	22 22	0 0	4 4	2732 2732	3 3	5 5	4 4	2 3	3 4	1 2	2 3	1 2	151897 227846	
0 1	2 3	0 1	3 4	2 3	5 8	4 6	0 0	4 6	1 2	1 1	17 26	27 27	44 44	85 85	5 5	37 37	9814 9814	5 5	2 2	1 1	3 4	3 4	1 2	4 6	2 3	184771 277156	
2 3	1 2	3 4	1 2	1 2	4 7	4 6	1 2	4 6	3 4	0 0	2 3	20 20	35 35	85 85	5 5	38 38	8982 8982	0 0	4 4	3 3	0 1	3 4	1 2	1 2	0 1	80000 120000	
3 4	0 0	3 4	4 7	1 2	8 12	2 3	1 2	6 9	4 6	0 0	5 8	18 18	27 27	84 84	3 3	42 42	7195 7195	15 15	3 3	2 2	1 2	0 1	3 4	4 6	0 1	80000 120000	
2 3	0 0	2 3	4 6	4 6	6 9	4 6	0 1	4 6	1 2	1 1	19 28	37 37	79 79	158 158	7 7	20 20	15811 15811	10 10	2 2	3 3	2 3	4 6	3 4	4 6	3 4	266461 399692	
0 1	2 3	1 2	2 3	3 4	7 10	0 0	1 2	4 6	2 3	1 1	23 34	31 31	78 78	123 123	7 7	9 9	14206 14206	10 10	2 2	4 4	3 4	4 6	4 6	1 2	4 6	320000 480000	
0 0	3 4	2 3	5 8	6 9	3 4	0 0	2 3	6 9	1 2	1 1	13 20	20 20	42 42	82 82	3 3	46 46	7576 7576	16 16	3 3	4 4	1 2	3 4	3 4	4 6	2 3	181624 272437	
2 3	1 2	0 1	8 12	6 9	4 6	3 4	2 3	2 3	2 3	0 0	0 1	38 38	61 61	146 146	7 7	14 14	13457 13457	12 12	4 4	5 5	2 3	4 6	3 4	0 1	0 1	80000 120000	
3 4	3 4	3 4	0 1	1 2	0 1	4 6	3 4	6 9	4 6	1 1	19 28	25 25	56 56	102 102	5 5	18 18	10027 10027	12 12	1 1	4 4	0 1	4 6	1 2	2 3	3 4	253778 380667	
0 1	1 2	0 1	8 12	4 7	1 2	3 4	2 3	6 9	1 2	1 1	23 34	18 18	47 47	72 72	3 3	13 13	7979 7979	11 11	2 2	5 5	3 4	0 1	2 3	2 3	3 4	252860 379291	
2 3	3 4	2 3	4 6	8 12	4 7	3 4	3 4	6 9	1 2	0 0	12 18	26 26	58 58	103 103	6 6	33 33	11984 11984	12 12	2 2	2 2	1 2	0 1	3 4	3 4	1 2	135356 203034	
0 1	1 2	3 4	2 3	6 9	4 6	4 6	3 4	0 1	3 4	1 1	16 24	4 4	9 9	34 34	1 1	41 41	2050 2050	20 20	2 2	3 3	0 1	3 4	0 1	4 6	2 3	163416 245124	
3 4	3 4	2 3	2 3	8 12	4 6	1 2	2 3	2 3	4 6	0 0	2 3	20 20	40 40	81 81	4 4	27 27	9423 9423	18 18	3 3	4 4	4 6	4 6	3 4	0 1	0 1	80000 120000	
1 2	3 4	2 3	4 7	1 2	1 2	2 3	1 2	4 7	0 1	0 0	4 7	34 34	75 75	174 174	7 7	4 4	15538 15538	1 1	1 1	1 1	4 6	2 3	2 3	2 3	0 1	80000 120000	
0 0	3 4	1 2	8 12	2 3	4 6	4 6	3 4	0 1	4 6	0 0	3 4	14 14	31 31	90 90	5 5	42 42	7747 7747	1 1	2 2	2 2	0 1	1 2	3 4	0 1	0 1	80000 120000	
1 2	0 1	3 4	1 2	7 10	0 1	0 1	0 1	1 2	4 6	0 0	4 7	40 40	76 76	149 149	7 7	5 5	16020 16020	11 11	3 3	4 4	0 1	0 1	1 2	1 2	0 1	80000 120000	
0 1	1 2	1 2	4 7	5 8	4 6	2 3	0 1	5 8	2 3	1 1	20 30	46 46	76 76	149 149	9 9	9 9	16830 16830	20 20	4 4	3 3	0 1	4 6	1 2	2 3	3 4	232717 349076	
0 1	0 1	0 0	2 3	4 7	5 8	3 4	0 0	0 1	0 1	1 1	17 26	43 43	91 91	151 151	8 8	12 12	16348 16348	13 13	4 4	1 1	3 4	2 3	0 1	1 2	3 4	233839 350758	
1 2	1 2	0 1	4 6	5 8	3 4	4 6	0 0	2 3	4 6	0 0	0 1	47 47	77 77	189 189	9 9	47 47	17437 17437	9 9	3 3	4 4	3 4	4 6	3 4	2 3	0 1	80000 120000	
0 1	0 1	1 2	5 8	1 2	2 3	0 0	1 2	1 2	3 4	0 0	11 16	40 40	92 92	171 171	9 9	17 17	17784 17784	0 0	2 2	3 3	3 4	3 4	2 3	3 4	1 2	117301 175952	
0 0	2 3	1 2	1 2	1 2	8 12	4 6	0 0	1 2	1 2	1 1	20 31	35 35	73 73	149 149	7 7	12 12	15603 15603	12 12	4 4	4 4	4 6	3 4	4 6	0 1	4 6	298248 447373	
3 4	2 3	1 2	5 8	3 4	1 2	1 2	0 0	2 3	1 2	1 1	23 34	44 44	79 79	147 147	8 8	14 14	15867 15867	14 14	2 2	1 1	1 2	1 2	2 3	3 4	3 4	227389 341084	
1 2	2 3	1 2	0 1	4 7	6 9	0 0	1 2	5 8	2 3	1 1	16 25	29 29	66 66	129 129	6 6	43 43	12680 12680	8 8	4 4	5 5	0 1	1 2	4 6	2 3	2 3	190909 286364	
0 0	0 0	0 1	5 8	2 3	6 9	0 0	2 3	6 9	0 1	1 1	14 21	20 20	38 38	86 86	5 5	29 29	8994 8994	18 18	5 5	1 1	3 4	0 1	4 6	4 6	2 3	189784 284676	
0 0	1 2	0 1	1 2	8 12	4 6	0 0	0 1	0 1	2 3	1 1	20 31	27 27	62 62	106 106	5 5	9 9	11751 11751	13 13	3 3	1 1	3 4	1 2	4 6	3 4	4 6	306256 459385	
0 0	0 0	0 1	5 8	4 6	1 2	0 0	1 2	4 6	2 3	0 0	5 8	20 20	36 36	86 86	4 4	30 30	9065 9065	2 2	2 2	4 4	1 2	1 2	4 6	1 2	0 1	80000 120000	
2 3	1 2	0 0	0 1	4 7	8 12	3 4	0 0	5 8	4 6	0 0	2 3	38 38	79 79	141 141	7 7	24 24	15658 15658	17 17	2 2	5 5	4 6	3 4	0 1	1 2	0 1	91745 137618	
0 1	3 4	2 3	4 6	4 7	6 9	0 0	0 0	4 6	2 3	1 1	20 31	22 22	48 48	97 97	5 5	43 43	10066 10066	8 8	2 2	3 3	0 1	3 4	4 6	4 6	3 4	234760 352141	
2 3	0 0	0 1	5 8	8 12	3 4	4 6	3 4	5 8	2 3	0 0	9 14	7 7	12 12	51 51	2 2	37 37	3748 3748	6 6	4 4	3 3	4 6	4 6	4 6	2 3	1 2	102858 154287	
3 4	2 3	3 4	8 12	1 2	7 10	1 2	2 3	6 9	3 4	0 0	6 9	29 29	59 59	122 122	6 6	12 12	10711 10711	11 11	4 4	2 2	2 3	4 6	1 2	0 1	1 2	124823 187234	
2 3	0 0	2 3	8 12	5 8	4 6	0 1	2 3	4 7	4 6	1 1	12 19	23 23	48 48	84 84	4 4	40 40	9946 9946	0 0	2 2	1 1	3 4	4 6	4 6	1 2	2 3	215240 322861	
0 1	3 4	0 0	8 12	2 3	3 4	0 1	0 1	3 4	1 2	0 0	9 14	23 23	40 40	81 81	4 4	25 25	9052 9052	1 1	1 1	2 2	4 6	4 6	3 4	4 6	1 2	101460 152190	
0 1	1 2	0 0	6 9	1 2	4 7	3 4	2 3	4 7	3 4	1 1	14 21	7 7	16 16	43 43	2 2	42 42	3109 3109	3 3	1 1	5 5	1 2	3 4	3 4	1 2	2 3	194078 291117	
0 0	0 0	0 0	8 12	7 10	7 10	4 6	0 0	2 3	1 2	0 0	8 12	16 16	43 43	70 70	4 4	47 47	7536 7536	13 13	5 5	1 1	2 3	4 6	4 6	4 6	0 1	80000 120000	
0 1	2 3	2 3	3 4	4 6	8 12	3 4	1 2	2 3	1 2	1 1	17 26	36 36	76 76	161 161	7 7	39 39	14423 14423	15 15	4 4	4 4	2 3	1 2	0 1	2 3	3 4	240975 361462	
3 4	0 0	1 2	6 9	3 4	2 3	0 1	3 4	4 7	3 4	0 0	8 12	25 25	52 52	83 83	5 5	49 49	9305 9305	15 15	4 4	3 3	0 1	0 1	1 2	1 2	1 2	114004 171007	
1 2	0 0	0 0	2 3	7 10	8 12	2 3	0 0	0 1	1 2	1 1	19 28	27 27	66 66	117 117	6 6	38 38	11807 11807	2 2	4 4	3 3	4 6	0 1	2 3	3 4	3 4	253497 380246	
0 1	0 0	1 2	7 10	2 3	4 6	3 4	0 1	4 6	3 4	0 0	4 6	15 15	34 34	95 95	4 4	13 13	8028 8028	5 5	4 4	2 2	4 6	2 3	1 2	0 1	0 1	80000 120000	
3 4	2 3	0 0	0 1	7 10	4 6	1 2	2 3	4 6	2 3	1 1	21 32	50 50	92 92	190 190	9 9	16 16	18077 18077	5 5	1 1	1 1	4 6	3 4	2 3	4 6	4 6	289330 433995	
0 1	0 0	0 1	4 6	5 8	6 9	0 0	0 0	0 1	1 2	1 1	23 34	34 34	60 60	128 128	6 6	38 38	12147 12147	10 10	4 4	2 2	0 1	2 3	1 2	2 3	4 6	320000 480000	
2 3	2 3	3 4	1 2	4 6	1 2	1 2	0 0	4 7	1 2	1 1	14 21	6 6	30 30	38 38	1 1	20 20	4456 4456	11 11	4 4	3 3	2 3	1 2	0 1	2 3	2 3	205132 307698	
1 2	0 0	0 0	6 9	5 8	0 1	2 3	3 4	3 4	3 4	1 1	23 34	28 28	44 44	107 107	5 5	8 8	9190 9190	9 9	3 3	2 2	3 4	2 3	0 1	1 2	4 6	320000 480000	
0 0	2 3	0 1	1 2	6 9	3 4	0 0	3 4	2 3	4 6	0 0	12 19	3 3	6 6	10 10	1 1	38 38	665 665	4 4	3 3	4 4	2 3	2 3	2 3	2 3	1 2	112075 168112	
2 3	1 2	3 4	7 10	5 8	1 2	4 6	0 1	0 1	4 6	1 1	14 21	47 47	89 89	200 200	9 9	10 10	18943 18943	15 15	4 4	5 5	1 2	2 3	3 4	3 4	2 3	173032 259549	
0 1	0 1	0 1	1 2	5 8	3 4	0 1	1 2	5 8	4 6	1 1	23 34	37 37	84 84	165 165	7 7	6 6	15750 15750	10 10	2 2	5 5	0 1	2 3	0 1	3 4	4 6	320000 480000	
1 2	0 0	2 3	6 9	1 2	0 1	3 4	1 2	6 9	1 2	0 0	4 6	25 25	55 55	110 110	5 5	13 13	11192 11192	8 8	3 3	4 4	3 4	1 2	4 6	0 1	0 1	80000 120000	
2 3	2 3	1 2	5 8	8 12	6 9	0 1	0 0	6 9	3 4	0 0	0 1	27 27	48 48	111 111	4 4	10 10	9975 9975	15 15	4 4	5 5	1 2	2 3	3 4	4 6	0 1	80000 120000	
3 4	3 4	3 4	0 1	1 2	0 1	0 0	1 2	4 6	3 4	0 0	12 19	0 0	5 5	17 17	0 0	24 24	1888 1888	10 10	5 5	1 1	3 4	0 1	3 4	1 2	1 2	154940 232411	
1 2	3 4	1 2	7 10	4 6	4 7	3 4	3 4	4 7	0 1	1 1	18 27	41 41	85 85	165 165	8 8	24 24	16344 16344	4 4	1 1	3 3	1 2	1 2	1 2	2 3	3 4	258827 388240	
0 1	3 4	0 1	6 9	5 8	2 3	0 1	3 4	4 7	0 1	1 1	21 32	22 22	44 44	86 86	4 4	30 30	8957 8957	17 17	1 1	3 3	0 1	2 3	4 6	2 3	4 6	295761 443642	
3 4	2 3	3 4	5 8	1 2	0 1	1 2	1 2	0 1	4 6	0 0	11 16	50 50	100 100	181 181	9 9	23 23	19127 19127	18 18	4 4	4 4	2 3	3 4	2 3	4 6	1 2	98234 147351	
0 1	0 0	3 4	0 1	8 12	4 7	3 4	0 1	6 9	0 1	1 1	17 26	25 25	58 58	104 104	6 6	33 33	12110 12110	16 16	2 2	5 5	4 6	0 1	2 3	1 2	2 3	199022 298533	
3 4	0 0	0 1	5 8	8 12	1 2	0 0	0 1	5 8	3 4	0 0	7 10	8 8	26 26	37 37	3 3	25 25	4698 4698	2 2	5 5	5 5	2 3	3 4	0 1	1 2	0 1	87949 131924	
0 0	1 2	2 3	8 12	3 4	5 8	3 4	0 0	4 7	4 6	0 0	1 2	44 44	93 93	186 186	9 9	34 34	19505 19505	5 5	3 3	3 3	2 3	3 4	2 3	2 3	0 1	80000 120000	
0 0	1 2	0 1	6 9	4 6	1 2	2 3	1 2	5 8	0 1	0 0	6 9	34 34	64 64	148 148	7 7	25 25	12851 12851	12 12	1 1	4 4	3 4	0 1	2 3	2 3	0 1	82042 123063	
0 0	3 4	0 1	5 8	6 9	1 2	2 3	2 3	4 7	3 4	1 1	20 31	0 0	2 2	29 29	0 0	30 30	1187 1187	20 20	4 4	4 4	3 4	3 4	3 4	2 3	3 4	269036 403555	
1 2	0 0	1 2	5 8	6 9	8 12	2 3	2 3	3 4	1 2	0 0	8 12	15 15	16 16	41 41	3 3	22 22	5039 5039	17 17	1 1	4 4	3 4	0 1	4 6	2 3	0 1	80000 120000	
0 0	0 1	0 1	7 10	3 4	7 10	4 6	0 1	0 1	2 3	1 1	16 25	44 44	94 94	174 174	10 10	32 32	18674 18674	19 19	3 3	4 4	3 4	3 4	2 3	3 4	2 3	210160 315240	
0 1	1 2	0 0	7 10	4 6	5 8	2 3	1 2	3 4	1 2	0 0	0 1	38 38	66 66	125 125	7 7	44 44	13072 13072	14 14	4 4	5 5	0 1	4 6	0 1	0 1	0 1	80000 120000	
2 3	0 1	0 0	4 6	3 4	5 8	0 1	0 0	0 1	4 6	1 1	20 31	10 10	30 30	62 62	3 3	50 50	5590 5590	3 3	5 5	3 3	2 3	1 2	3 4	3 4	3 4	258336 387505	
3 4	1 2	2 3	7 10	3 4	0 1	0 0	0 0	6 9	3 4	0 0	8 12	49 49	100 100	175 175	10 10	22 22	19296 19296	3 3	2 2	4 4	2 3	1 2	2 3	4 6	1 2	158136 237204	
1 2	1 2	1 2	1 2	2 3	7 10	3 4	3 4	5 8	4 6	1 1	22 33	18 18	38 38	78 78	5 5	37 37	8284 8284	8 8	2 2	3 3	4 6	2 3	1 2	0 1	3 4	238624 357937	
3 4	3 4	3 4	0 1	1 2	0 1	1 2	1 2	6 9	0 1	0 0	4 6	39 39	84 84	160 160	8 8	4 4	16263 16263	14 14	1 1	2 2	1 2	0 1	2 3	3 4	0 1	80000 120000	
0 1	2 3	1 2	3 4	8 12	8 12	0 0	3 4	4 7	4 6	1 1	15 22	24 24	33 33	97 97	5 5	1 1	8158 8158	20 20	4 4	5 5	1 2	4 6	3 4	1 2	2 3	223392 335089	
0 1	2 3	3 4	7 10	3 4	4 7	0 1	1 2	4 7	4 6	1 1	17 26	13 13	30 30	84 84	4 4	32 32	6492 6492	0 0	1 1	3 3	2 3	1 2	1 2	3 4	2 3	168452 252678	
2 3	1 2	3 4	1 2	4 6	5 8	1 2	0 1	6 9	0 1	1 1	16 25	28 28	71 71	118 118	6 6	27 27	13195 13195	10 10	1 1	4 4	2 3	0 1	2 3	2 3	2 3	208529 312794	
1 2	0 1	1 2	0 1	5 8	0 1	2 3	2 3	4 6	2 3	1 1	22 33	19 19	44 44	81 81	5 5	28 28	8942 8942	7 7	3 3	4 4	3 4	0 1	4 6	2 3	3 4	247326 370989	
0 1	2 3	3 4	5 8	2 3	3 4	2 3	0 1	0 1	0 1	0 0	9 14	46 46	87 87	185 185	9 9	5 5	18491 18491	16 16	4 4	1 1	3 4	0 1	2 3	0 1	1 2	134409 201614	
3 4	0 1	3 4	7 10	3 4	1 2	0 0	0 0	0 1	4 6	1 1	20 31	35 35	71 71	108 108	6 6	37 37	12598 12598	2 2	5 5	5 5	0 1	4 6	3 4	0 1	4 6	300784 451176	
1 2	3 4	2 3	8 12	4 7	6 9	2 3	0 0	6 9	4 6	1 1	24 36	7 7	13 13	10 10	1 1	36 36	753 753	14 14	5 5	4 4	2 3	0 1	0 1	0 1	4 6	320000 480000	
0 0	3 4	3 4	4 7	4 7	5 8	2 3	0 0	4 7	4 6	1 1	19 28	46 46	93 93	174 174	8 8	35 35	17769 17769	14 14	4 4	2 2	4 6	2 3	1 2	3 4	3 4	232342 348513	
0 1	0 1	2 3	4 6	6 9	8 12	0 0	0 1	5 8	0 1	1 1	19 28	5 5	7 7	10 10	0 0	24 24	1492 1492	11 11	3 3	3 3	3 4	4 6	4 6	0 1	3 4	266072 399109	
2 3	0 0	3 4	6 9	1 2	1 2	3 4	2 3	3 4	3 4	1 1	19 28	9 9	18 18	14 14	2 2	25 25	2740 2740	0 0	4 4	5 5	1 2	2 3	3 4	2 3	3 4	237510 356265	
2 3	0 0	3 4	2 3	7 10	4 6	0 0	0 0	0 1	0 1	1 1	15 22	47 47	100 100	195 195	10 10	34 34	19050 19050	6 6	5 5	5 5	4 6	1 2	4 6	1 2	2 3	187523 281284	
0 0	3 4	0 1	4 7	4 7	4 7	0 1	2 3	2 3	0 1	0 0	2 3	13 13	40 40	73 73	3 3	37 37	6149 6149	17 17	2 2	3 3	0 1	0 1	0 1	2 3	0 1	80000 120000	
0 1	0 0	3 4	1 2	8 12	2 3	4 6	0 0	1 2	4 6	0 0	0 1	35 35	80 80	134 134	8 8	41 41	14884 14884	1 1	4 4	1 1	3 4	2 3	1 2	3 4	0 1	80000 120000	
0 1	1 2	0 0	3 4	2 3	0 1	4 6	0 0	6 9	2 3	1 1	12 19	5 5	30 30	41 41	2 2	29 29	4010 4010	3 3	5 5	3 3	4 6	0 1	1 2	0 1	2 3	186180 279270	
3 4	2 3	0 1	0 1	5 8	3 4	4 6	1 2	4 7	0 1	0 0	8 12	30 30	71 71	135 135	7 7	48 48	13564 13564	5 5	3 3	2 2	1 2	1 2	4 6	0 1	0 1	80000 120000	
2 3	1 2	0 1	7 10	4 6	5 8	4 6	2 3	4 6	2 3	0 0	0 1	11 11	25 25	59 59	2 2	28 28	4372 4372	6 6	4 4	1 1	3 4	3 4	0 1	4 6	0 1	80000 120000	
3 4	1 2	0 1	4 6	4 6	2 3	3 4	2 3	0 1	0 1	0 0	8 13	9 9	24 24	14 14	2 2	25 25	3380 3380	0 0	4 4	1 1	0 1	4 6	3 4	4 6	1 2	122820 184230	
3 4	0 0	0 0	4 6	4 7	6 9	4 6	3 4	4 7	1 2	0 0	4 6	23 23	50 50	86 86	3 3	1 1	8198 8198	15 15	4 4	3 3	4 6	1 2	2 3	4 6	0 1	80000 120000	
1 2	1 2	1 2	2 3	1 2	5 8	1 2	2 3	5 8	3 4	0 0	1 2	45 45	81 81	166 166	8 8	46 46	17074 17074	11 11	3 3	2 2	3 4	2 3	0 1	0 1	0 1	80000 120000	
2 3	2 3	1 2	1 2	5 8	8 12	0 0	2 3	2 3	3 4	0 0	11 16	37 37	74 74	177 177	8 8	4 4	16332 16332	1 1	1 1	2 2	1 2	4 6	2 3	0 1	1 2	141192 211789	
0 1	2 3	2 3	0 1	1 2	1 2	1 2	0 1	3 4	4 6	0 0	11 16	47 47	89 89	200 200	9 9	3 3	19028 19028	17 17	1 1	1 1	0 1	1 2	4 6	4 6	1 2	111381 167072	
2 3	3 4	3 4	5 8	2 3	4 6	4 6	0 0	0 1	1 2	1 1	14 21	29 29	63 63	139 139	6 6	15 15	11945 11945	5 5	5 5	3 3	1 2	0 1	1 2	0 1	2 3	205973 308960	
0 1	1 2	1 2	6 9	2 3	0 1	3 4	1 2	5 8	4 6	0 0	7 10	46 46	95 95	163 163	9 9	22 22	17056 17056	18 18	1 1	2 2	4 6	2 3	2 3	4 6	1 2	117144 175716	
0 0	1 2	0 1	6 9	6 9	8 12	4 6	0 1	1 2	1 2	0 0	1 2	28 28	46 46	106 106	5 5	23 23	9308 9308	1 1	3 3	1 1	1 2	0 1	0 1	0 1	0 1	80000 120000	
3 4	2 3	1 2	8 12	5 8	3 4	1 2	3 4	5 8	1 2	1 1	16 24	49 49	99 99	200 200	10 10	11 11	19254 19254	17 17	1 1	4 4	2 3	3 4	0 1	4 6	2 3	203252 304879	
0 1	3 4	1 2	1 2	2 3	4 7	2 3	0 1	4 6	3 4	0 0	8 12	0 0	7 7	17 17	0 0	46 46	944 944	19 19	4 4	2 2	0 1	1 2	2 3	4 6	0 1	80000 120000	
0 1	1 2	2 3	4 6	6 9	3 4	1 2	2 3	0 1	4 6	1 1	14 21	45 45	100 100	200 200	10 10	10 10	19681 19681	5 5	1 1	5 5	3 4	3 4	0 1	3 4	2 3	210672 316009	
0 0	2 3	2 3	6 9	4 6	4 6	0 1	0 1	5 8	1 2	1 1	14 21	21 21	34 34	73 73	4 4	2 2	7159 7159	3 3	3 3	3 3	2 3	4 6	4 6	3 4	2 3	190932 286398	
3 4	0 0	0 1	6 9	8 12	0 1	2 3	2 3	4 6	3 4	0 0	8 13	33 33	52 52	127 127	5 5	32 32	11302 11302	19 19	4 4	5 5	2 3	3 4	1 2	0 1	0 1	80000 120000	
2 3	3 4	0 0	5 8	4 6	4 7	0 0	1 2	4 7	4 6	1 1	18 27	19 19	41 41	82 82	4 4	11 11	9091 9091	16 16	2 2	2 2	0 1	1 2	4 6	3 4	3 4	250702 376053	
0 0	2 3	2 3	7 10	6 9	1 2	0 0	0 0	4 6	0 1	1 1	20 30	7 7	12 12	54 54	2 2	24 24	3579 3579	1 1	2 2	2 2	2 3	2 3	0 1	2 3	3 4	271205 406808	
0 1	3 4	0 0	2 3	8 12	3 4	3 4	0 0	4 7	4 6	1 1	20 31	2 2	13 13	15 15	1 1	25 25	2662 2662	14 14	2 2	4 4	3 4	4 6	3 4	1 2	4 6	320000 480000	
0 1	0 0	2 3	5 8	8 12	7 10	3 4	2 3	4 7	0 1	1 1	13 20	13 13	31 31	39 39	2 2	33 33	4337 4337	15 15	5 5	3 3	0 1	4 6	0 1	2 3	2 3	206460 309690	
2 3	0 0	0 1	8 12	2 3	8 12	4 6	0 1	5 8	2 3	1 1	20 31	4 4	11 11	33 33	1 1	6 6	3249 3249	5 5	2 2	4 4	4 6	4 6	2 3	3 4	3 4	243768 365652	
0 0	2 3	0 1	8 12	1 2	6 9	0 1	1 2	4 7	2 3	0 0	6 9	31 31	58 58	136 136	7 7	46 46	12049 12049	12 12	1 1	2 2	1 2	2 3	1 2	0 1	1 2	107062 160593	
3 4	0 0	0 0	1 2	1 2	4 6	1 2	1 2	3 4	1 2	1 1	16 25	33 33	74 74	111 111	6 6	50 50	12876 12876	8 8	1 1	1 1	3 4	4 6	3 4	4 6	2 3	211716 317575	
1 2	0 0	1 2	4 6	1 2	0 1	4 6	0 1	1 2	0 1	1 1	12 18	21 21	43 43	59 59	4 4	43 43	7268 7268	8 8	4 4	2 2	4 6	1 2	4 6	3 4	2 3	223907 335860	
1 2	1 2	2 3	0 1	4 7	5 8	0 1	0 1	4 7	4 6	1 1	17 26	7 7	13 13	36 36	1 1	34 34	1876 1876	15 15	1 1	5 5	1 2	4 6	3 4	4 6	2 3	200928 301393	
2 3	0 0	3 4	8 12	6 9	7 10	2 3	1 2	4 7	1 2	0 0	12 18	45 45	100 100	194 194	9 9	22 22	19577 19577	17 17	5 5	1 1	0 1	2 3	2 3	1 2	1 2	108563 162844	
